Field,Value,Example,Description
class,mammals,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,ghalib,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Balochistan,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,balochistan_mammals,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1999 - 2006,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Current Status of Mammals of Balochistan,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Mammals,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Mammals: Blyth (1845), Brandt (1836), Savi (1822), Pallas (1811), Ognev (1928), Geoffroy, E. (1810), Briinnich (1782), Grey (1831), Thomas (1903), Schreber (1774), Gray (1838), Dobson (1871), Kuhl (1819), Pocock (1927), Pocock (1939), Pallas (1776), Loche (1858), Blandford (1874), Sykes (1831), Linnaeus (1758), Schinz (1825), Blyth (1854), Linnaeus (1758), Erxleben (1777)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://zsp.com.pk/pdf3/117-122%20%289%29.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2007,2008,the date of publication of the source
type,localinv,localinv,always localinv
