Field,Value,Example,Description
class,mammals,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,matveev,pietersen,primary author
contact,vital-m@mail.ru,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Cambodia,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,cambodia_mammals_primary,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 200 to 2002,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"Checklist of Cambodian bats (Chiroptera), with new records and remakrs on taxonomy ","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Mammals,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Mammals: Metveev (1999), Kock (2000), Hendrichsen et al. (2001)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://zmmu.msu.ru/rjt/articles/ther4_1%2043_62%20Matveev.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2005,2008,the date of publication of the source
type,localinv,localinv,always localinv
