Field,Value,Example,Description
class,herpatofauna,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,ibanez,pietersen,primary author
contact,ibanezr@si.edu,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Upper Rio Chagres Basin,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,chagres_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,2002,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"A note on amphibians and reptiles in the upper Rio Chargres Basin, Panama","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,"Ibanez R 2005. A note on amphibians and reptiles in the upper Rio Chargres Basin, Panama. In RS Harmon (Ed.) The Rio Chagres, Panama: A Multidisciplinary Profile of a Tropical Watershed. Water Science and Technology Library. 52:p237-242.","Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,Customized Polygon,WDPA 2010,what was used for spatial information
taxon,"Amphibians, Reptiles",Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Ibanez, R, Arosemena, FA, Soli_s, FA, and Jaramillo, CA, 1994, Anfibios y reptiles de la Serrani_a Piedras-Pacora, Parque Nacional Chagres: Scientia (Panama), 9: 17-31.","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://link.springer.com/chapter/10.1007%2F1-4020-3297-8_15,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2005,2008,the date of publication of the source
type,localinv,localinv,always localinv
