Field,Value,Example,Description
class,reptiles,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,dimaki,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Fourni Achipelago,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,fourni_reptiles,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1997 to 1998,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"The Reptile Fauna of the Fourni Archipelago (Eastern Aegean, Greece) ","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Reptiles,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Reptiles: Linnaeus (1757), Baran & Gruber (1981), Beutler & Fror (1980), Berthold (1842), Bibron & Bory (1833), Gmelin (1789), Martin (1838)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://users.uoa.gr/~alegakis/index_el_files/PDFfiles/ReptFaunaFournoi0001.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,1999,2008,the date of publication of the source
type,localinv,localinv,always localinv
