Field,Value,Example,Description
class,mammals,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,Lim,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Guiana Shield,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,guiana_mammals,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1976 to 2001,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Checklist of the terrestrial vertebrates of the Guiana Shield,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,"Hollowell, T., and R. P. Reynolds, eds. 2005. Checklist of the Terrestrial Vertebrates of the Guiana Shield. Bulletin of the Biological Society of Washington, no. 13.","Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Mammals,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Bats: Lim and Engstrom (2001), Simmons and Voss (1998). Nonvalent mammals: Voss et al. (2001), Handley (1076), Ochoa et al. (1993), Linares (1998), Linares and Rivas (2004), Lew (2001)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://persoon.si.edu/bdg/pdf/bswa_13_ALL.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2005,2008,the date of publication of the source
type,localinv,localinv,always localinv
