Field,Value,Example,Description
class,reptiles,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,pires,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Guiana Shield,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,guiana_reptiles,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2002,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Checklist of the terrestrial vertebrates of the Guiana Shield,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Reptiles,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Amphibians: Avila-Pires (1995), Campbell & Lamar (1989), Gorzula & Senaris (1999), Hoogmoed (1973, 1979, 1983), Medem (1981), Sanchez (1995)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://persoon.si.edu/bdg/pdf/bswa_13_ALL.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2005,2008,the date of publication of the source
type,localinv,localinv,always localinv
