Field,Value,Example,Description
class,mammals,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,angelici,pietersen,primary author
contact,frangema@tiscali.it,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Small Italian Islands,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,italianislands_mammals,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,A checklist of the mammals of small italian islands,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,A subset of GADM with some customization of shapes,WDPA 2010,what was used for spatial information
taxon,Mammals,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Wilson D.E. and Reeder D.A.M. (eds) 2005. Mammal species of the world: a taxonomic and geographic reference. Third ed. Vol. 1-2. John Hopkins Uni- versity Press, Baltimore.","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.italian-journal-of-mammalogy.it/index.php/hystrix/article/viewArticle/4429,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2009,2008,the date of publication of the source
type,localinv,localinv,always localinv
