Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,donnelly,pietersen,primary author
contact,donnelly@fiu.edu,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Iwokrama Forest,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,iwokrama_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,"ca. 1997-1998, 1999, 2002",ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Sampling amphibians and reptiles in the Iwokrama Forest ecosystem,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA dowloaded shapefile,WDPA 2010,what was used for spatial information
taxon,Amphibians and Reptiles,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.bioone.org/doi/pdf/10.1635/0097-3157%282004%29154%5B0055%3ASAARIT%5D2.0.CO%3B2,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2005,2008,the date of publication of the source
type,localinv,localinv,always localinv
