Field,Value,Example,Description
class,reptiles,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,karunarathna,pietersen,primary author
contact,dmsameera@gmail.com,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Kukulugala Forest,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,kukulugala_reptiles,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2001 to 2002,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"Reptile Diversity of a Fragmented Lowland Rain Forest Patch in Kukulugala, Ratnapura District, Sri Lanka","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,"Karunarathna D.M.S.S, Amarasinghe A.A.T 2010. Reptile Diversity of a Fragmented Lowland Rain Forest Patch in Kukulugala, Ratnapura District, Sri Lanka. Taprobanica 2:86-94","Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA 2010,WDPA 2010,what was used for spatial information
taxon,Reptiles,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Deraniyagala (1953, 1955), Das & De Silva (2005), De Silva (1980), De Silva (1990), Greer (1991), and Wickramasinghe & Somaweera (2003)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.sljol.info/index.php/TAPRO/article/view/3146/2525,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2010,2008,the date of publication of the source
type,localinv,localinv,always localinv
