Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,behangana,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Kyoga Lake Basin,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,kyoga_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1999 to 2001,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,The Diversity and Status of Amphibians and Reptiles in the Kyoga Lake Basin,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,created shapefiles using coordinates from paper,WDPA 2010,what was used for spatial information
taxon,Amphibians and Reptiles,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Amphibians: Drewes and Vindum (1994), Loveridge (1942), Schiotz (1975, 1999), Stewart (1967); Reptiles: Pitman (1974), Broadley and Howell (1991)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://onlinelibrary.wiley.com/store/10.1111/j.1365-2028.2004.00461.x/asset/j.1365-2028.2004.00461.x.pdf?v=1&t=hsdm2fmw&s=070a4e2ac5ab7481b22825177de16b9f07394f69,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2004,2008,the date of publication of the source
type,localinv,localinv,always localinv
