Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,tordoff,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Hoang Lien Son - Van Ban,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,laocai_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2002,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"A Rapid Field Survey of Van Ban District, Lao Cai Province, Vietnam","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA 2010,WDPA 2010,what was used for spatial information
taxon,Reptiles and amphibians,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Amphibians: Cox et al. (1998), Ohler et al. (2000)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.birdlifeindochina.org/birdlife/report_pdfs/reportVBan.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2002,2008,the date of publication of the source
type,localinv,localinv,always localinv
