Field,Value,Example,Description
class,plants,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,hoke,pietersen,primary author
contact,phoke@conservation.org ,dwpietersen@zoology.up.ac.za,email address of contact
coverage,"North Lorma, Gola, and Grebo National Forests",Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,liberia_forest_plants,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2005,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"A Rapid Biological Assessment of North Lorma, Gola and Grebo National Forests, Liberia","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,"Hoke, P., R. Demey and A. Peal (eds.). 2007. A rapid biological assessment of North Lorma, Gola and Grebo National Forests, Liberia. RAP Bulletin of Biological Assessment 44. Conservation International, Arlington, VA, USA.","Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA 2010,WDPA 2010,what was used for spatial information
taxon,Plants,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.conservation.org/Documents/RAP_Reports/RAP44_National_Forests_Liberia_Nov-2005.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2007,2008,the date of publication of the source
type,localinv,localinv,always localinv
