Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,wanger,pietersen,primary author
contact,thochewa@gmail.com,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Lore Lindu National Park,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,lorelindusulawesi_herps_compiled,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2007 to 2009,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"The amphibians and reptiles of the Lore Lindu National Park area, Central Sulawesi, Indonesia","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA 2010,WDPA 2010,what was used for spatial information
taxon,Amphibians and Reptiles,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Amphibians: Frost (2009); Reptiles: McDiarmid et al. (1999), De Land and Vogel (2005) ","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,"http://scip-info.org/de/document/download/607fba4f2fbe9e21836c93cea415d8b9-en.pdf/Salamandra2011,47_17-29_open.pdf",http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2011,2008,the date of publication of the source
type,localinv,localinv,always localinv
