Field,Value,Example,Description
class,mammals,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,stanley,pietersen,primary author
contact,bstanley@fieldmuseum.org,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Mikumi National Park,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,mikumi_mammals,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2004,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"Results of a preliminary small mammal survey of Malundwe Mountain, Mikumi National Park, Tanzania","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA 2010,WDPA 2010,what was used for spatial information
taxon,Mammals,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Mammals: Hutterer (1993), Koopman (1993), Musser & Carleton (1993)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.bioone.org/doi/abs/10.2982/0012-8317%282005%2994%5B213:ROAPSM%5D2.0.CO;2,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2005,2008,the date of publication of the source
type,localinv,localinv,always localinv
