Field,Value,Example,Description
class,herpetofauna,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,janzen,pietersen,primary author
contact,pjanzen@gmx.de,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Morningside,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,morningside_srilanka_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,2010,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"The herpetofauna of a small and unprotected patch of tropical rainforest in Morningside, Sri Lanka","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,"Jansen, P. and Bopage, M. 2011. The herpetofauna of a small and unprotected patch of tropical rainforest in Morningside, Sri Lanka. Amphib. Reptile Conserv. 5(2):1-13(e26).","Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,buffered point by 5km,WDPA 2010,what was used for spatial information
taxon,"Amphibia, Reptilia",Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.redlist-arc.org/Article-PDFs/ARC_5(2)_01-13_e26.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2011,2008,the date of publication of the source
type,localinv,localinv,always localinv
