Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,raxworthy,pietersen,primary author
contact,rax@falcon.cc.ukans.edu,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Muni-Pomadze Lagoon,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,muni_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1998,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Herpetofaunal communities at Muni Lagoon in Ghana,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,,WDPA 2010,what was used for spatial information
taxon,Amphibians,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://link.springer.com/article/10.1023%2FA%3A1008955830060,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2000,2008,the date of publication of the source
type,localinv,localinv,always localinv
