Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,rao,pietersen,primary author
contact,thulsirao@yahoo.co.ins,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Nallamalai Hills,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,nallamalai_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2001 to 2004,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Herpetofauna of Nallamalai Hills with eleven new records from the region including ten new records for Andhra Pradesh,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA 2010,WDPA 2010,what was used for spatial information
taxon,Reptiles and Amphibians,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Reptiles: Smith (1935, 1943), Whitaker and Captain (2004); Amphibians: Boulenger (1890), Daniel (1963, 1975), Dutta (1997), Daniels (1997), Dubois and Ohler (1999), Chanda (2002)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.zoosprint.org/ZooPrintJournal/2005/January/1737-1740.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2005,2008,the date of publication of the source
type,localinv,localinv,always localinv
