Field,Value,Example,Description
class,all,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,doggart,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Ngaramia Forest,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,ngaramia_all,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2000 to 2001,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Ngaramia Riverine Forest: A Biodiversity Survey ,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,created geometries using coordinates from paper,WDPA 2010,what was used for spatial information
taxon,All,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,Mammals: Kingdon (1997); Birds: Van Perlo (1995); ,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.tfcg.org/pdf/TFCG-Ngaramia-biodiversity-survey-report.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2002,2008,the date of publication of the source
type,localinv,localinv,always localinv
