Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,onn,pietersen,primary author
contact,kin_onn@yahoo.com,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Pulau Pangkor,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,pulaupangkor_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2009 to 2010,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"First Report on the Herpetofauna of Pulau Pangkor, Perak, Malaysia ","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Amphibians,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,Hemidactylus:Carranza and Arnold (2006);Draco: Manthey (2008); Amphibian: Frost (2009):,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.academia.edu/938499/First_report_on_herpetofauna_of_Pulau_Pangkor_Perak_Malaysia,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2010,2008,the date of publication of the source
type,localinv,localinv,always localinv
