Field,Value,Example,Description
class,fish,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,kemp,pietersen,primary author
contact,jmk100@york.ac.uk,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Socotra Archipelago,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,socotra_fish,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1996,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Zoogeography of the coral reef fishes of the Socotra Archipelago,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Fish,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,,"Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://onlinelibrary.wiley.com/doi/10.1046/j.1365-2699.1998.00249.x/full,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,1998,2008,the date of publication of the source
type,localinv,localinv,always localinv
