Field,Value,Example,Description
class,reptiles,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,tsetan,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Chembarambakkam Lake,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,southindia_reptiles,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 2008,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"Reptilian fauna of agricultural landscapes of Chembarambakkaam Lake, Chennai, Tamil Nadu","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Reptiles,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Reptile: Lacepede (1789), Daudin (1803), Schneider (1801), Shaw & Nodder (1797), Linnaeus (1758), Shaw (1802), Gray (1845), Dum. & Bib (1836), Gmelin (1799), Blyth (1853), Cuvier (1844), Lacepede (1788)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.zoosprint.org/ZoosPrintNewsLetter/Reptile_Rap_13_Sep2011.pdf#page=2,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2011,2008,the date of publication of the source
type,localinv,localinv,always localinv
