Field,Value,Example,Description
class,mammals,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,marinis,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,termessos_mammals,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1994 to 2007,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,"Mammalian fauna of the Termessos National Park, Turkey","Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,"De Marinis AM, Masseti M (2009) Mammalian fauna of the Termessos National Park, Turkey ","Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,WDPA 2010,WDPA 2010,what was used for spatial information
taxon,Mammals,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Mammals: Krystufek and Vohralik 2001, Ugurluai 2005, Yortonese 1958, Kumerloeve 1967, Turan 1984, Albayrak and Erdogan 2005, Thol-Schmitz 2004, Ustay 1990, Kasparek et al. 2004","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.pensoft.net/J_FILES/1/articles/171/171-G-1-layout.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2009,2008,the date of publication of the source
type,localinv,localinv,always localinv
