Field,Value,Example,Description
class,herps,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,soorae,pietersen,primary author
contact,psoorae@ead.ae,dwpietersen@zoology.up.ac.za,email address of contact
coverage,United Arab Emirated,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,uae_herps,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,An Overview and Checklist of the Native and Alien Herpetofauna of the United Arab Emirates,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,GADM,WDPA 2010,what was used for spatial information
taxon,Amphibians,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Amphibians: Arnold (1984, 1986), Balletto et al. (1985), Gasperetti (1988), Leviton et al. (1992), Gasperetti et al. (1993), Egan (2007), Gardner (2005, 2008)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.podarcis.de/AS/Bibliografie/BIB_5324.pdf,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,2010,2008,the date of publication of the source
type,localinv,localinv,always localinv
