Field,Value,Example,Description
class,mammals,aves,"the taxonomic group, like ""plants"" or ""aves"""
provider,dueser,pietersen,primary author
contact,,dwpietersen@zoology.up.ac.za,email address of contact
coverage,Virginia Barrier Islands,Banhine National Park,"the geographic extent eg. ""Global"" or ""Angola"" or ""New World"""
dataset_id,virginiabarrier_mammals,banhine_birds,the name of the species list table
date_more,,,null if not applicable (usually null)
date_range,ca. 1975,ca. 2006 to 2008,"a string representation for the date range ""ca. 1980 to 2010"""
description,Mammals on the Virginia Barrier Islands,"Annotated checklist of the birds of Banhine National Park, Southern Mozambique",string description
recommended_citation,,"Pietersen DW, Pietersen EW 2010. Annotated checklist of the birds of Banhine National Park, Southern Mozambique.  Ornithologal Observations 1:7-37",
seasonality,none,none,usually none
seasonality_more,,,usually null
spatial_metadata,Polygon created based on the map in the paper,WDPA 2010,what was used for spatial information
taxon,Mammals,Birds,"taxon - same as class but with common names ""Plants"", or ""Birds"""
taxonomy_metadata,"Mammals: Goldman (1918), Clapp et al. (1976), Bailey (1946), Mearns (1911), Handley and Patton (1947)","Amphibians: Frost, D.R. (2009), Reptiles: Uetz, P. (2008)",references for the taxonomy
url,http://www.jstor.org/stable/1379822,http://oo.adu.org.za/content.php?id=4,url of the datasource
publication date,1979,2008,the date of publication of the source
type,localinv,localinv,always localinv
